City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp (F),Wind Speed
punta arenas,CL,0.0,07/26/18,0.87,-53.16,-70.91,42.8,11.41
kodiak,US,0.01,07/26/18,0.37,39.95,-94.76,86.0,9.17
thinadhoo,MV,0.32,07/26/18,0.95,0.53,72.93,85.0,20.94
yellowknife,CA,0.2,07/26/18,0.42,62.45,-114.38,80.6,13.87
ushuaia,AR,0.4,07/26/18,0.6,-54.81,-68.31,41.0,3.36
kaina,NG,0.0,07/26/18,0.78,12.64,8.59,80.6,5.82
faanui,PF,0.64,07/26/18,0.98,-16.48,-151.75,80.68,13.0
hobart,AU,0.75,07/26/18,0.81,-42.88,147.33,44.6,5.82
bredasdorp,ZA,0.36,07/26/18,0.93,-34.53,20.04,59.0,6.93
havre-saint-pierre,CA,0.9,07/26/18,1.0,50.23,-63.6,64.4,4.7
san quintin,PH,0.76,07/26/18,0.97,17.54,120.52,71.95,2.15
bluff,AU,0.0,07/26/18,0.91,-23.58,149.07,49.63,3.6
labytnangi,RU,0.24,07/26/18,0.64,66.66,66.39,64.03,6.96
lebu,ET,0.75,07/26/18,0.87,8.96,38.73,59.0,2.93
albany,US,0.4,07/26/18,0.51,42.65,-73.75,84.2,10.29
avarua,CK,0.75,07/26/18,0.73,-21.21,-159.78,75.2,14.99
evensk,RU,0.92,07/26/18,1.0,61.92,159.24,51.97,7.07
chuy,UY,0.92,07/26/18,0.98,-33.69,-53.46,57.01,4.27
ca mau,VN,0.2,07/26/18,0.97,9.18,105.15,79.51,6.73
nakamura,JP,0.75,07/26/18,0.78,35.17,136.87,78.8,8.05
hofn,IS,0.9,07/26/18,0.87,64.25,-15.21,55.4,10.29
toora-khem,RU,0.32,07/26/18,0.96,52.47,96.11,38.2,2.15
mar del plata,AR,0.08,07/26/18,0.74,-46.43,-67.52,44.77,2.82
faya,SA,0.05,07/26/18,0.83,18.39,42.45,71.6,5.82
zemio,CF,0.88,07/26/18,0.98,5.02,25.13,67.81,3.38
atar,MR,0.08,07/26/18,0.25,20.52,-13.05,85.27,2.59
guatire,VE,0.4,07/26/18,0.78,10.47,-66.54,82.4,4.7
castro,CL,0.0,07/26/18,0.88,-42.48,-73.76,48.28,3.38
mataura,NZ,0.0,07/26/18,0.88,-46.19,168.86,39.19,9.64
tiksi,RU,0.0,07/26/18,0.72,71.64,128.87,46.75,12.88
port-gentil,GA,0.9,07/26/18,0.78,-0.72,8.78,77.0,9.17
mata,CU,0.75,07/26/18,0.52,22.63,-79.93,91.4,10.29
rikitea,PF,0.2,07/26/18,1.0,-23.12,-134.97,72.31,5.61
barrow,AR,0.92,07/26/18,0.88,-38.31,-60.23,54.13,10.65
hasaki,JP,0.4,07/26/18,0.94,35.73,140.83,69.8,8.05
tasiilaq,GL,0.0,07/26/18,0.81,65.61,-37.64,42.8,11.41
okhotsk,RU,0.36,07/26/18,0.9,59.36,143.24,61.33,2.71
nikolskoye,RU,0.4,07/26/18,0.88,59.7,30.79,68.0,4.47
villarrica,CL,0.36,07/26/18,0.7,-39.28,-72.23,49.09,1.59
saint-philippe,CA,0.2,07/26/18,0.62,45.36,-73.48,84.2,9.17
busselton,AU,0.8,07/26/18,1.0,-33.64,115.35,57.28,9.53
ixtapa,MX,0.9,07/26/18,0.79,20.71,-105.21,87.8,9.17
carnarvon,ZA,0.12,07/26/18,0.32,-30.97,22.13,50.89,10.87
kokopo,PG,0.44,07/26/18,1.0,-4.34,152.27,76.18,4.5
chokurdakh,RU,0.44,07/26/18,0.86,70.62,147.9,35.95,12.1
