source,text,date,compound,positive,neutral,negative,tweets ago
BBC,"RT @bbcwritersroom: Writer Debbie Horsfield's new @BBCOne drama #AgeBeforeBeauty begins tonight (Tue 31 July) at 9pm. 

We caught up with D…",2018-07-31 16:33:01+00:00,0.0,0.0,1.0,0.0,1
BBC,"The Old Bridge in Mostar is one of Bosnia-Herzegovina's most famous landmarks. 

But does it connect or divide the… ",2018-07-31 16:01:02+00:00,0.0,0.0,1.0,0.0,2
BBC,"RT @bbcmusic: ""Hopefully my little messages for train passengers will be a nice surprise and a reminder of the power of music as they go ab…",2018-07-31 15:19:43+00:00,0.765,0.266,0.734,0.0,3
BBC,"Congratulations John!  A 95-year-old man has graduated from Oxford University, 76 years after he completed his deg… ",2018-07-31 14:02:05+00:00,0.636,0.198,0.802,0.0,4
BBC,"Have you ever spotted hidden messages in the Harry Potter films?
#HappyBirthdayHarryPotter ",2018-07-31 13:00:23+00:00,0.0,0.0,1.0,0.0,5
BBC,"RT @BBCEarth: In formation 

Let's celebrate all the men and women protecting our planet's wildlife 
#WorldRangerDay ",2018-07-31 11:41:04+00:00,0.7717,0.251,0.749,0.0,6
BBC,"Tunnelling work is almost set to begin on London's new super sewer.
But before it can start, some very important th… ",2018-07-31 11:38:00+00:00,0.6236,0.211,0.789,0.0,7
BBC,"An Australian family has been startled awake after a kangaroo crashed its way through a window in their home.
… ",2018-07-31 11:07:35+00:00,-0.1779,0.0,0.909,0.091,8
BBC,Watch Leading Lady Parts on @BBCiPlayer  ,2018-07-31 09:50:02+00:00,0.0,0.0,1.0,0.0,9
BBC,"Still without a home and unsure where to turn to next, the future is 'scary' for Kelly. ",2018-07-31 08:02:04+00:00,0.1877,0.104,0.896,0.0,10
BBC,"Legal permission will no longer be required to end care for patients in a long-term permanent vegetative state, the… ",2018-07-31 07:28:06+00:00,0.3612,0.215,0.685,0.1,11
BBC,"'I've found random stuff like false teeth.' 

The diving group picking up litter in the North Sea. ",2018-07-31 07:00:08+00:00,0.4215,0.202,0.798,0.0,12
BBC,"For anyone who doesn't care about Love Island... 

",2018-07-30 20:03:04+00:00,-0.7181,0.0,0.5,0.5,13
BBC,What makes you resilient? ,2018-07-30 18:01:04+00:00,0.0,0.0,1.0,0.0,14
BBC,"☔️ It turns out it's not just gratitude that makes rain smell so appealing after a long period of dry weather.

The… ",2018-07-30 17:03:05+00:00,-0.4023,0.0,0.881,0.119,15
BBC," Advertising toilet paper using puppies! How it all began... 
#InsideTheFactory ",2018-07-30 16:03:04+00:00,0.0,0.0,1.0,0.0,16
BBC," Photographs from around the world of Friday's #BloodMoon - the longest lunar eclipse of the 21st Century.
… ",2018-07-30 14:03:08+00:00,0.0,0.0,1.0,0.0,17
BBC,"A polar bear has been shot dead after it attacked a cruise ship guard on Norway's Svalbard archipelago, within the… ",2018-07-30 13:04:01+00:00,-0.8074,0.0,0.687,0.313,18
BBC, When a sheepdog doesn't quite cut it... ,2018-07-30 12:01:06+00:00,0.2572,0.253,0.747,0.0,19
BBC,"RT @BBCRadio4: BLOOPERS! 
@ProfBrianCox can't tell his hominins from his hominids. Or possibly the other way around.
Much more Monkey Cage…",2018-07-30 11:56:23+00:00,0.0,0.0,1.0,0.0,20
BBC,"Why Americans will be able to 3D print their own guns from August.

",2018-07-30 11:03:01+00:00,0.0,0.0,1.0,0.0,21
BBC,❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels.… ,2018-07-30 09:00:15+00:00,0.4767,0.134,0.866,0.0,22
BBC,"Now this is an impressive line-up!

Gemma Arterton, Catherine Tate, @Gemma_Chan1, @emiliaclarke, @IAMLenaHeadey and… ",2018-07-30 08:13:57+00:00,0.5562,0.216,0.784,0.0,23
BBC," Our cats may purr when we pet them, but it’s a much more complicated form of communication than we've assumed.
… ",2018-07-30 07:27:06+00:00,0.0,0.0,1.0,0.0,24
BBC,"The pika might just be the world's cutest thief!
#AnimalsBehavingBadly ",2018-07-30 07:01:05+00:00,0.1759,0.264,0.516,0.219,25
BBC,RT @bbcarts: Tsundoku: The art of buying books and never reading them ,2018-07-29 20:26:13+00:00,0.0,0.0,1.0,0.0,26
BBC,Stacey Dooley meets a Roma girl who turned to prostitution after she was removed from her parents at 13. ,2018-07-29 20:03:05+00:00,0.0,0.0,1.0,0.0,27
BBC," @edballs travels to America's Deep South to immerse himself in the lives of those who put Trump in power, and le… ",2018-07-29 19:02:05+00:00,0.4215,0.113,0.887,0.0,28
BBC,"RT @BBCSport: Geraint Thomas has done it! 󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France  ",2018-07-29 17:29:30+00:00,0.6239,0.151,0.849,0.0,29
